id,project,bug_class,source_file,function,shape,hardness_bar_verdict,confidence_split,reason
cgltf_1_15_hard_alloc_material_variant_flattened_count_0003,cgltf,alloc,cgltf.h,cgltf_parse_json_material_mapping_data,cgltf-material-variants-dry-run-flatten-count-loss,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cgltf_1_15_hard_doublefree_glb_bin_chunk_file_release_0005,cgltf,doublefree,cgltf.h,cgltf_load_buffers,cgltf-glb-bin-borrowed-buffer-release-method-confusion,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cgltf_1_15_hard_spatial_glb_bin_chunk_one_byte_short_accessor_0001,cgltf,spatial,cgltf.h,cgltf_load_buffers,cgltf-glb-bin-buffer-declared-size-one-byte-short,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cgltf_1_15_hard_spatial_mat3_short_padding_size_0002,cgltf,spatial,cgltf.h,cgltf_calc_size,cgltf-mat3-padded-component-footprint-collapse,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cgltf_1_15_hard_spatial_sparse_accessor_value_offset_0001,cgltf,spatial,cgltf.h,cgltf_find_sparse_index,cgltf-sparse-accessor-value-slot-index-drift,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cgltf_1_15_topup_hard_spatial_sparse_index_equal_count_unpack_write_0002,cgltf,spatial,cgltf.h,cgltf_validate,cgltf-sparse-index-bound-to-unpack-output-edge,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cgltf_1_15_topup_hard_spatial_sparse_values_validation_component_size_confusion_0001,cgltf,spatial,cgltf.h,cgltf_validate,cgltf-sparse-values-buffer-validation-index-component-confusion,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cgltf_1_15_hard_typeconf_orthographic_camera_union_route_0004,cgltf,typeconf,cgltf.h,cgltf_parse_json_camera,cgltf-camera-orthographic-union-discriminator-misroute,at or above hardness bar,clearly hard enough,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_alloc_001,cjson,alloc,cJSON.c,cJSON_strdup,string-duplicate-terminator-slot-drop,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
cjson_1_7_19_hard_alloc_002,cjson,alloc,cJSON.c,print_string_ptr,print-string-closing-quote-terminator-slot-drop,at or above hardness bar,borderline hard,2026-06-16 baseline accepted previously or 2026-06-17 scratch record passed strict scratch review
